Username,Level of experience with C++?,Level of experience with gdb?,Level of experience in algorithms?,students you do NOT want to work with?,students that you would like to work with?
Fedo.g,3,3,1,,
Tany.n,3,3,5,,kyle.y arit.n anna.i alex.n josh.e chen.o
Kyle.y,3,1,5,,
Rahu.a,1,3,3,,
Gran.e,1,3,3,sunn.p anna.i,spen.r ning.n
Sunn.p,3,3,5,,
Yu-T.e,1,1,5,,
Arit.n,3,3,1,,
Anna.i,3,1,1,,
Jack.y,3,5,5,mara.k,
Andr.y,5,5,1,,
Mara.k,1,1,5,,
Khal.o,1,1,3,,mitc.y gran.e andr.y
Mitc.y,5,1,5,,
Alexis.t,3,3,3,,
Alex.n,1,1,3,,
Josh.e,5,1,3,,
Spen.r,5,1,1,khal.o alex.n mara.k ben.h,Sunn.p vene.e bran.n thom.i mia.m gabr.e thom.i
NIng.n,3,3,1,,Yu-T.e
Chen.o,3,3,1,,Arit.n
Gabr.e,3,1,3,,Anna.i josh.e
Veve.e,1,5,5,,Jack.y
Jayv.u,3,1,5,andr.y,
Bran.n,3,5,1,yu-t.e,miax.r
Mary.y,1,3,3,,Tany.n
Thom.i,1,3,3,,Kyle.y veve.e ning.n
Mia.m,1,5,1,,Rahu.a
Zach.h,3,1,3,fedo.g gabr.e bran.n,Gran.e ben.h jack.n
Jack.n,5,5,5,,
Ben.h,1,3,5,,
Thim.i,5,3,3,,
Miax.r,5,5,1,bran.n ben.h gabr.e ning.n mara.k mitc.y arit.n sunn.p alex.n,
Zachi.h,5,1,3,,
Jackie.h,5,1,5,,
Bent.g,1,1,5,jackie.h,
Grant.b,1,1,1,,
